MPID	Name	Name_in_Burmese	Constituency	Region	Party	Gender	Ethnicity	Religion	DoB	Previous_Occupation	Parliament	Elected_Year	Term_End_Year	MotionID	Date_of_Submission	House	Session	Description	Description_in_Burmese	Issue	Purpose	Status	Date_of_Response	Respondant	Respondant_Position
LWMP-01-0273	Daw Khin Saw Wai	ဒေါ်ခင်စောဝေ	Rathay Taung Tsp	Rakhine	RNDP	Male	Rakhine	Buddhism	11-Jun-59	Business	First Pyithu Hluttaw	2010	2015	LWM-01-08-003	4-Nov-13	First Pyithu Hluttaw	Eight Regular Session	To impliment Upgrading admin and Security at Rakhine		Administration	Representation	Recorded		General Maung Maung Ohn	D M
UPMP-01-0163	Daw Khin Wine Kyi	ဒေါ်ခင်ဝိုင်းကြည်	Yangon Region, Constituency (1)	Yangon	NDF	Female	Bamar	Buddhism	9-Feb-47	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-02-045	2-Nov-11	First Amyotha Hluttaw	Second Regular Session	Vetting by the Constitutional Tribunal of laws that are to be submitted to the President	ပြည်ထောင်စုလွှတ်တော်က အတည်ပြုသော သို့မဟုတ် အတည်ပြုသည်ဟု မှတ်ယူရမည်ဖြစ်သော ဥပဒေကြမ်းများကို နိုင်ငံတော်သမ္မတ လက်မှတ်ရေးထိုးထုတ်ပြန်ရေးအတွက် ပေးပို့ခြင်းမပြုမီ ဥပဒေကြမ်း ပူးပေါင်းကော်မတီအား စိစစ်စေပြီး နိုင်ငံတော်ဖွဲ့စည်းပုံ အခြေခံဥပဒေနှင့် ညီညွတ်ခြင်း ရှိ/မရှိ သံသယရှိသော ကိစ္စရပ်များပါဝင်ပါက ယင်းဥပဒေကြမ်းများကို စိစစ်နိုင်ရေးအတွက် နိုင်ငံတော်ဖွဲ့စည်းပုံအခြေခံ ဥပဒေဆိုင်ရာခုံရုံးသို့ ပေးပို့ရန် ဆုံးဖြတ်ကြောင်းနှင့် စပ်လျဉ်း၍ အဆို	Legislation	Scrutiny	Approved
UPMP-01-0163	Daw Khin Wine Kyi	ဒေါ်ခင်ဝိုင်းကြည်	Yangon Region, Constituency (1)	Yangon	NDF	Female	Bamar	Buddhism	9-Feb-47	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-02-046	4-Nov-11	First Amyotha Hluttaw	Second Regular Session	Formation of a joint parliamentary committee to examine compliance with the Constitutions of laws that are to be submitted to the President	အမျိုးသားလွှတ်တော်နှင့် ပြည်သူ့လွှတ်တော်တို့မှ ကိုယ်စားလှယ်ဦးရေ တူညီစွာပါဝင်သော ပူးပေါင်းကော်မတီတစ်ရပ်ကို အမျိုးသားလွှတ်တော် ဆိုင်ရာ နည်းဥပဒေများ ၇၆ (က)အရ ဖွဲ့စည်းဆောင်ရွက်ပေးပါရန်နှင့် လိုအပ်လျှင် အမျိုးသားလွှတ်တော်ဆိုင်ရာ နည်းဥပဒေများ ၈၁ အရ ကော်မရှင်နှင့်အဖွဲ့များကို လွှတ်တော်ကိုယ်စားလှယ်များဖြင့်လည်းကောင်း၊ သင့်‌လျော်သည့် နိုင်ငံသားများ ထည့်သွင်း၍ လည်းကောင်း ဖွဲ့စည်းပြီး စီရင်ထုံးတစ်ခုကဲ့သို့ မှတ်တမ်းမှတ်ရာ ကျန်ရစ်အောင် ဆောင်ရွက်ပေးပါရန်နှင့် စပ်လျဉ်းသည့် အဆို	Legislation		Approved
UPMP-01-0163	Daw Khin Wine Kyi	ဒေါ်ခင်ဝိုင်းကြည်	Yangon Region, Constituency (1)	Yangon	NDF	Female	Bamar	Buddhism	9-Feb-47	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-03-001	26-Jan-12	First Amyotha Hluttaw	Third Regular Session	To take more days of leave for pregnant public service women	ကိုယ်ဝန်ဆောင်ဝန်ထမ်း အမျိုးသမီးများအား မီးဖွားခွင့်ရက် တိုးမြှင့်သတ်မှတ်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်း အဆို	Social Welfare	Scrutiny	Approved	27-Jan-12	U Kyaw Thu	Union Civil Service Board Chairman
UPMP-01-0163	Daw Khin Wine Kyi	ဒေါ်ခင်ဝိုင်းကြည်	Yangon Region, Constituency (1)	Yangon	NDF	Female	Bamar	Buddhism	9-Feb-47	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-10-001	3-Jun-14	First Amyotha Hluttaw	Tenth Regular Session	PR Electroal System for Amyothar Hluttaw	လာမည့်ပါတီစုံ မည်သည့် ရွေးကောက်ပွဲများတွင်မဆို အမျိုးသားလွှတ်တော်အတွက် ကိုယ်စားလှယ်များ ရွေးချယ်ရာ၌ အချိုးကျ ကိုယ်စားပြုစနစ်ကို ကျင့်သုံးရန် လွှတ်တော်က အဆုံးအဖြတ်ပေးပါရန်နှင့် ဥပဒေပြင်ဆင်ရေးလုပ်ငန်းများကို လိုအပ်သလို ဆက်လက်ဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုရွေးကောက်ပွဲ ကော်မရှင်အား တိုက်တွန်းကြောင်း အဆို	Politics	Scrutiny	Approved	11-Jun-14	U Myint Naing	Member of UEC
LWMP-01-0097	Daw Mi Yin Chan	ဒေါ်မိယဉ်ချမ်း	Kyaikmayaw Tsp	Mon	USDP	Male	Mon	Buddhism	1-Oct-80	Others	First Pyithu Hluttaw	2010	2015	LWM-01-02-042	29-Sep-11	First Pyithu Hluttaw	Second Regular Session	Revising women's laws	“အမျိုးသမီးများနှင့် သက်ဆိုင်သော ဥပဒေများတွင် ပြင်ဆင်ဖြည့်စွက်ရန် ”အဆို 	Civic Rights	Legislation	Recorded	30-Sep-11	U Tun Tun Oo	Chief Minister
UPMP-01-0071	Daw Nan Ni Ni Aye	ဒေါ်နန်းနီနီအေး	Kayin State, Constituency (6)	Kayin	USDP	Female	Kayin	Buddhism	12-Oct-69	Education	First Amyotha Hluttaw	2010	2015	UP-01-06-019	22-Feb-13	First Amyotha Hluttaw	Sixth Regular Session	Developing the Muu Sal 105 miles transportion zone and Planning the city project for Muu Sal	မူဆယ် ၁၀၅ မိုင် ကုန်သွယ်ရေးဇုန်အား အဆင့်မီ ဖွံ့ဖြိုး တိုးတက်သည့် ဇုန်အင်္ဂါရပ်များနှင့်ညီညွတ်စေရန် အကောင်အထည်ဖော်နိုင်ရေးနှင့် မြန်မာ - တရုတ် နှစ်နိုင်ငံကုန်သွယ်တံခါးမုခ်ဦးဖြစ်သည့် မူဆယ်မြို့အား နိုင်ငံကျက်သရေဆောင် မြို့ပြ စီမံကိန်းရေးဆွဲ အကောင်အထည်ဖော် တည်ဆောက်ပေးနိုင်ရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်းအဆို 	Transportation	Representation	Approved	7-Mar-13	U Win Myint	Economic and Commcrce Minister
LWMP-01-0091	Daw Nan Wah Nu	ဒေါ်နန်းဝါနု	Konhein Tsp	Shan	SNDP	Female	Shan	Buddhism	23-Dec-78	Law	First Pyithu Hluttaw	2010	2015	LWM-01-04-011	13-Jul-12	First Pyithu Hluttaw	Fourth Regular Session	To Remove the block of the Economic		Business	Scrutiny	Approved
LWMP-01-0091	Daw Nan Wah Nu	ဒေါ်နန်းဝါနု	Konhein Tsp	Shan	SNDP	Female	Shan	Buddhism	23-Dec-78	Law	First Pyithu Hluttaw	2010	2015	LWM-01-04-023	14-Aug-12	First Pyithu Hluttaw	Fourth Regular Session	Legistating duties, authorities and prevleres of region/state chief ministers		Legislation	Scrutiny	Approved	29-Aug-12	U Tun Tun Oo	Deputy Union Attorney-General
LWMP-01-0029	Daw Tin Nwe Oo	ဒေါ်တင်နွယ်ဦး	Dagon North Tsp	Yangon	NDF	Female	Bamar	Buddhism	24-Mar-51	Economics	First Pyithu Hluttaw	2010	2015	LWM-01-02-036	22-Sep-11	First Pyithu Hluttaw	Second Regular Session	Fixing exchange rate under a monetary policy	“ပြည်ထောင်စုသမ္မတမြန်မာနိုင်ငံတော် အမျိုးသားစီးပွားရေးတည်ငြိမ်ဖွံ့ဖြိုးရေးအတွက် ခိုင်မာသည့်ငွေကြေးမူဝါဒများချမှတ်ပြီး သဘာဝကျ၍ စျေးကွက်နှင့်လိုက်လျောညီထွေဖြစ်နိုင်မည့် နိုင်ငံခြားငွေလဲလှယ်နှုန်းကို ဥပဒေနှင့်အညီသတ်မှတ်ဆောင်ရွက်ရန် အဆို	Finance	Scrutiny	Recorded	29-Sep-11	U Win Than	Deputy Finance and Revenue Minister
