MPID	Name	Name_in_Burmese	Constituency	Region	Party	Gender	Ethnicity	Religion	DoB	Previous_Occupation	Parliament	Elected_Year	Term_End_Year	MotionID	Date_of_Submission	House	Session	Description	Description_in_Burmese	Issue	Purpose	Status	Date_of_Response	Respondant	Respondant_Position
LWMP-01-0042	U Aung Myint	ဦးအောင်မြင့်	Gant Gaw Tsp	Magway	USDP	Male	Bamar	Buddhism	10-Jul-60	Business	First Pyithu Hluttaw	2010	2015	LWM-01-04-029	5-Sep-12	First Pyithu Hluttaw	Fourth Regular Session	To legal the field that inclue forest reserve		Land Grab	Scrutiny	Approved
LWMP-01-0042	U Aung Myint	ဦးအောင်မြင့်	Gant Gaw Tsp	Magway	USDP	Male	Bamar	Buddhism	10-Jul-60	Business	First Pyithu Hluttaw	2010	2015	LWM-01-05-017	15-Nov-12	First Pyithu Hluttaw	Fifth Regular Session	To legal the field that inclue forest reserve		Land Grab	Scrutiny	Recorded	15-Nov-12	U Aye Myint Maung	Deputy Environomental Conservation and Forestry Minister
UPMP-01-0079	U Aung Nyein	ဦးအောင်ငြိမ်း	Magway Region, Constituency (2)	Magway	USDP	Male	Bamar	Buddhism	13-Mar-51	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-02-032	13-Sep-11	First Amyotha Hluttaw	Second Regular Session	Governing with law and granding social security for the citizens	ပြည်သူတို့ဘဝ ဥပဒေနှင့်အညီ အေးချမ်းသာယာ စိတ်ချမ်းသာစွာဖြင့် လူနေမှုဘဝ လုံခြုံစွာနေထိုင်နိုင်ရေးအတွက် တာဝန်ရှိသူ အဆင့်ဆင့်တို့က ဥပဒေနှင့်အညီ ဆောင်ရွက်လုပ်ကိုင်နိုင်ပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်းအဆို	Social Welfare	Scrutiny	Rejected	14-Sep-11	Brig-General Kyaw Zan Myint	Deputy Home Minister
UPMP-01-0079	U Aung Nyein	ဦးအောင်ငြိမ်း	Magway Region, Constituency (2)	Magway	USDP	Male	Bamar	Buddhism	13-Mar-51	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-02-036	26-Sep-11	First Amyotha Hluttaw	Second Regular Session	Solving systematically the problems of Land garb	ဥက္ကဋ္ဌ ပြည်သူတို့၏ တိုင်ကြားစာ နှင့် အသနားခံစာဆိုင်ရာကော်မတီ၏ လယ်ယာ/မြေယာ သိမ်းယူမှုများနှင့် ပတ်သက်၍ ပြေလည်အောင် ညှိနှိုင်းဖြေရှင်းနိုင်ခြင်းမရှိသော အမှုအခင်းများစွာ ရှိနေပါသဖြင့် နိုင်ငံတော်အစိုးရအနေဖြင့် စနစ်တကျစိစစ်၍ ကိုင်တွယ်ဖြေရှင်း ဆောင်ရွက်နိုင်ပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်း အဆို	Land Grab	Scrutiny	Recorded	27-Sep-11	U Khin Zaw	Deputy Agriculture and Irragation Minister
UPMP-01-0079	U Aung Nyein	ဦးအောင်ငြိမ်း	Magway Region, Constituency (2)	Magway	USDP	Male	Bamar	Buddhism	13-Mar-51	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-04-020	16-Aug-12	First Amyotha Hluttaw	Fourth Regular Session	Making of the Equal opportunities in education	ပြည်ထောင်စုသမ္မတ မြန်မာနိုင်ငံတော် နိုင်ငံတစ်ဝန်းလုံး၌ ပညာရေးကဏ္ဍတွင် ဟန်ချက်ညီစွာ တစ်ပြေးညီ ပညာသင်ကြားလေ့လာသင်ယူခွင့် အခွင့်အလမ်းများရရှိစေရေး အမျိုးသားရေးတာဝန် အဖြစ် ခံယူပြီး ဆောင်ရွက်ပေးနိုင်ပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်း အဆို	Education	Scrutiny	Recorded	9-Nov-12	U Aye Q	Deputy Education Minister
UPMP-01-0079	U Aung Nyein	ဦးအောင်ငြိမ်း	Magway Region, Constituency (2)	Magway	USDP	Male	Bamar	Buddhism	13-Mar-51	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-05-001	18-Oct-12	First Amyotha Hluttaw	Fifth Regular Session	To Carry out with rule & procedure for punishment public service persons	နိုင်ငံ့ဝန်ထမ်းများအား အရေးယူအပြစ်ပေးရာတွင် ဥပဒေ၊ လုပ်ထုံးလုပ်နည်း၊ စည်းမျဉ်းစည်းကမ်းနှင့်အညီ စစ်ဆေးခြင်းမပြုဘဲ တိုက်ရိုက် ထုတ်ပယ်မှုကြောင့် ဝန်ထမ်းများမှာ ထုချေဖြေရှင်းခွင့်မရသဖြင့် နစ်နာမှုများ ရှိနေပါ၍ ဥပဒေ၊ လုပ်ထုံးလုပ်နည်းများနှင့်အညီ စစ်ဆေးဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စု အစိုးရအား တိုက်တွန်းကြောင်း အဆို	Legislation	Scrutiny	Approved	23-Nov-12	U Soe Maung	President Office Minister
UPMP-01-0079	U Aung Nyein	ဦးအောင်ငြိမ်း	Magway Region, Constituency (2)	Magway	USDP	Male	Bamar	Buddhism	13-Mar-51	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-09-001	26-Mar-14	First Amyotha Hluttaw	Ninth Regular Session	Translating Laws	N/A	Legislation	Scrutiny	Approved		Dr. Tun Shin	Union Attorney-General
LWMP-01-0132	U Aung Soe	ဦးအောင်စိုး	Loundlone Tsp	Taninthayi	NLD	Male	Bamar	Buddhism	29-May-60	Business	First Pyithu Hluttaw	2012	2015	LWM-01-09-001	4-Feb-14	First Pyithu Hluttaw	Ninth Regular Session	Solving The Promises of Minister U Ohn Myint LFRT		Development	Scrutiny	Recorded		U Aung Kyi	M
LWMP-01-0326	U Aung Thaung	ဦးအောင်သောင်း	Thaung Thar Tsp	Mandalay	USDP	Male	Bamar	Buddhism	1-Dec-40	Military	First Pyithu Hluttaw	2010	2015	LWM-01-04-020	9-Aug-12	First Pyithu Hluttaw	Fourth Regular Session	Taking medicine for eyes disease at middle of Country		Health	Scrutiny	Approved	28-Aug-12	Dr Myat Myat Ohm Khin	Deputy Health Minister
LWMP-01-0326	U Aung Thaung	ဦးအောင်သောင်း	Thaung Thar Tsp	Mandalay	USDP	Male	Bamar	Buddhism	1-Dec-40	Military	First Pyithu Hluttaw	2010	2015	LWM-01-06-005	24-Jan-13	First Pyithu Hluttaw	Sixth Regular Session	Solving the problem of the public who suffer from drought		Services	Scrutiny	Approved	24-Jan-13	Lt-Gen Than Htay+U Khin Zaw	Border Affairs Minister+Deputy Agriculture & Irrigation Minister
LWMP-01-0296	U Aung Thein Lin	ဦးအောင်သိန်းလင်း	South Okkalapa Tsp	Yangon	USDP	Male	Bamar	Buddhism	10-Jul-49	Civil Service	First Pyithu Hluttaw	2010	2015	LWM-01-02-003	24-Aug-11	First Pyithu Hluttaw	Second Regular Session	Upgrading dilapidated primary schools	“မိဘပြည်သူများ၊ အလှူရှင်များနှင့်ပညာရေး ဝန်ကြီးဌာနတို့ ပူးပေါင်းပြီးယိုယွင်းနေသော မူလတန်းကျောင်းဆောင်များအဆင့်မြှင့်တင်ခြင်း လုပ်ငန်းနှင့် Public Private Partnership သဘောမျိုးဖြင့်ပုဂ္ဂလိက အခြေခံပညာ မူလတန်းကျောင်းများကို တည်ထောင်ခွင့်ပြုသင့်ကြောင်းနှင့် ယင်းသို့ဆောင်ရွက် နိုင်ရန်အတွက် လိုအပ်သည့်နည်းဥပဒေနှင့် လုပ်ထုံးလုပ်နည်းများကို ရေးဆွဲချမှတ်၍ အကောင်အထည်ဖော် ဆောင်ရွက်သင့်ကြောင်း ”အဆို 	Education	Scrutiny
LWMP-01-0296	U Aung Thein Lin	ဦးအောင်သိန်းလင်း	South Okkalapa Tsp	Yangon	USDP	Male	Bamar	Buddhism	10-Jul-49	Civil Service	First Pyithu Hluttaw	2010	2015	LWM-01-03-001	26-Jan-12	First Pyithu Hluttaw	Third Regular Session	Relaxation of tariffs under revelent rules and regulations		Business	Scrutiny	Recorded	30-Jan-12	U Hla Tun	Finance and Revenue Minister
LWMP-01-0296	U Aung Thein Lin	ဦးအောင်သိန်းလင်း	South Okkalapa Tsp	Yangon	USDP	Male	Bamar	Buddhism	10-Jul-49	Civil Service	First Pyithu Hluttaw	2010	2015	LWM-01-04-008	11-Jul-12	First Pyithu Hluttaw	Fourth Regular Session	Sharing the antidote of snake		Health	Scrutiny	Approved	23-Jul-12	U Thein Aung	Deputy Industry Minister
LWMP-01-0296	U Aung Thein Lin	ဦးအောင်သိန်းလင်း	South Okkalapa Tsp	Yangon	USDP	Male	Bamar	Buddhism	10-Jul-49	Civil Service	First Pyithu Hluttaw	2010	2015	LWM-01-04-027	3-Sep-12	First Pyithu Hluttaw	Fourth Regular Session	Cracking down inaprropriate use of pasture  by companies		Labour	Scrutiny
LWMP-01-0296	U Aung Thein Lin	ဦးအောင်သိန်းလင်း	South Okkalapa Tsp	Yangon	USDP	Male	Bamar	Buddhism	10-Jul-49	Civil Service	First Pyithu Hluttaw	2010	2015	LWM-01-05-018	15-Nov-12	First Pyithu Hluttaw	Fifth Regular Session	Cracking down inaprropriate use of pasture  by companies		Land Grab	Scrutiny	Recorded	15-Nov-12	Pol Maj - Gen Kyaw Kyaw Tun	Deputy Home Minister
LWMP-01-0151	U Aung Zaw Win	ဦးအောင်ဇော်ဝင်း	Maungdaw Tsp	Rakhine	USDP	Male	Bamar	Islamism	25-May-64	Business	First Pyithu Hluttaw	2010	2015	LWM-01-02-046	4-Oct-11	First Pyithu Hluttaw	Second Regular Session	Drafting condominum law	“အဆင့်မြင့်ကွန်ဒိုမီနီယမ် ပိုင်ဆိုင်နေထိုင်ရေးဆိုင်ရာဥပဒေ(Condominium Law)အား တရားနည်းလမ်းမျှတစွာ ပြဋ္ဌာန်းရေးဆွဲရေးကို သက်ဆိုင်ရာမှ စီစဉ်မှုပြုပေးပါရန်”အဆို	Real Estate	Scrutiny	Recorded	5-Oct-11	U Tun Tun Oo	Deputy Attorney-General
LWMP-01-0247	U Aung Zin	ဦးအောင်ဇင်	Pazundaung Tsp	Yangon	NDF	Male	Bamar	Buddhism	29-Jun-58	Art	First Pyithu Hluttaw	2010	2015	LWM-01-01-012	15-Mar-11	First Pyithu Hluttaw	First Regular Session	Designating stable rice prices	'' တောင်သူလယ်သမားများ၏ထွက်ကုန်သီးနှံများကို တည်ငြိမ်သော စျေးရရှိစေခြင်းငှာ သင့်တင့်သောထိန်းသိမ်းခ သတ်မှတ်၍ အစိုးရနှင့် ပုဂ္ဂလိကတို့ထံ တရားဝင် အပ်နှံထားခွင့်ပြုရေး ဥပဒေတစ်ရပ် ပြဋ္ဌာန်းပေးရန် '' အဆို	Agriculture	Scrutiny	Withdrawn	15-Mar-11	U Tin Naing Thein	Commerce Minister
LWMP-01-0247	U Aung Zin	ဦးအောင်ဇင်	Pazundaung Tsp	Yangon	NDF	Male	Bamar	Buddhism	29-Jun-58	Art	First Pyithu Hluttaw	2010	2015	LWM-01-08-005	6-Nov-13	First Pyithu Hluttaw	Eight Regular Session	Forming Commettee for Agriculture and Meteorology		Administration	Scrutiny	Recorded		U Ohn than	D M
LWMP-01-0247	U Aung Zin	ဦးအောင်ဇင်	Pazundaung Tsp	Yangon	NDF	Male	Bamar	Buddhism	29-Jun-58	Art	First Pyithu Hluttaw	2010	2015	LWM-01-10-017	24-Jul-14	First Pyithu Hluttaw	Tenth Regular Session	Compitable Electoral System for Pyithu Hluttaw		Politics	Scrutiny	Approved
LWMP-01-0145	U Aye Mauk	ဦးအေးမောက်	Mahlaing Tsp	Mandalay	USDP	Male	Bamar	Buddhism	6-Apr-48	Civil Service	First Pyithu Hluttaw	2010	2015	LWM-01-03-011	8-Mar-12	First Pyithu Hluttaw	Third Regular Session	Enforcin recommantation From public to		Legislation	Legislation	Approved	8-Mar-12	U Tun Tun Oo	Deputy Attorney-General
LWMP-01-0145	U Aye Mauk	ဦးအေးမောက်	Mahlaing Tsp	Mandalay	USDP	Male	Bamar	Buddhism	6-Apr-48	Civil Service	First Pyithu Hluttaw	2010	2015	LWM-01-04-001	4-Jul-12	First Pyithu Hluttaw	Fourth Regular Session	Urging the government to implement sector-wise standardization		Legislation	Scrutiny	Recorded	6-Jul-12	Dr Ko Ko Oo	Deputy Science and Technology Minister
LWMP-01-0145	U Aye Mauk	ဦးအေးမောက်	Mahlaing Tsp	Mandalay	USDP	Male	Bamar	Buddhism	6-Apr-48	Civil Service	First Pyithu Hluttaw	2010	2015	LWM-01-05-009	6-Nov-12	First Pyithu Hluttaw	Fifth Regular Session	Mortgages on agricultural land		Finance	Legislation	Recorded	6-Nov-12	U Khin Zaw	Deputy Agriculture and Irrigation Minister
UPMP-01-0056	U Bo Yei	ဦးဘိုးရယ်	Kayah State, Constituency (3)	Kayah	USDP	Male	Kayan	Buddhism	7-Apr-70	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-03-013	6-Mar-12	First Amyotha Hluttaw	Third Regular Session	Opening border camp trading as a first priority in Kayah for the developement	ဒေသဖွံ့ဖြိုးတိုးတက်ရေးအတွက် ကယားပြည်နယ်တွင် နယ်စပ်ကုန်သွယ်ရေးစခန်း သစ်တစ်ခုအား ဦးစားပေးဖွင့်လှစ်ပေး ပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်းအဆို	Social Welfare	Representation	Approved	8-Mar-12	Dr Pwint San	Deputy Economic and Commerce
UPMP-01-0056	U Bo Yei	ဦးဘိုးရယ်	Kayah State, Constituency (3)	Kayah	USDP	Male	Kayan	Buddhism	7-Apr-70	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-11-005	14-Oct-14	First Amyotha Hluttaw	Eleventh Regular Session	Rehabilitation of Civil Wars Victims	N/A	Social Welfare	Scrutiny	Approved	29-Oct-14	General Tin Aung Chit	Dupity Boder Affire Minister
UPMP-01-0037	U Har Shein Bwe	ဦးဟာရှိန်းဘွေ	Chin State, Constituency (8)	Chin	USDP	Male	Chin	Christianity	15-Sep-40	Law	First Amyotha Hluttaw	2010	2015	UP-01-04-006	9-Jul-12	First Amyotha Hluttaw	Fourth Regular Session	Helping of the development of Chin State	မြန်မာနိုင်ငံတွင် ဆင်းရဲနွမ်းပါးမှု အနိမ့်ကျဆုံးဖြစ်နေသော ချင်းပြည်နယ်၏ ကျေးလက်ဒေသဖွံ့ဖြိုးရေးလုပ်ငန်းများ အရှိန်အဟုန်ဖြင့် အကောင်အထည်ဖော်ဆောင်ရွက်ရာတွင် နိုင်ငံတော်နှင့်အတူ တိုင်းရင်းသား လုပ်ငန်းရှင်ကြီးများမှလည်း တတ်အားသမျှ စေတနာထက်သန်စွာ ဝိုင်းဝန်းကူညီ ပံ့ပိုးပေး နိုင်ပါရန် အဆို	Development	Scrutiny	Approved	8-Aug-12	Gen Zaw Win	Deputy Boder Affairs Minister
UPMP-01-0037	U Har Shein Bwe	ဦးဟာရှိန်းဘွေ	Chin State, Constituency (8)	Chin	CNP	Male	Chin	Christianity	15-Sep-40	Law	First Amyotha Hluttaw	2010	2015	UP-01-06-011	1-Feb-13	First Amyotha Hluttaw	Sixth Regular Session	Selection procedure for medical students in remote townships	ဝေးလံခေါင်သီပြီး သွားလာရေး ခက်ခဲသည့် မြို့နယ်များမှ ဆေးကျောင်းသားများ ရွေးချယ်ရာတွင် အောက်ခြေလက်တွေ့ ဘဝနှင့်ကိုက်ညီမှု မရှိသည့် (၈)တန်း၊ (၉)တန်း၊ (၁၀)တန်းကို မိမိဒေသမှ အောင်မြင်သူ ဖြစ်ရန်ဆိုသည့် မူစည်းမျဉ်းကို ပြန်လည်ပြင်ဆင်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်းအဆို 	Education	Scrutiny	Rejected	6-Feb-13	Dr Win Myint	Deputy Health Minister
UPMP-01-0078	U Hla Swe	ဦးလှဆွေ	Magway Region, Constituency (12)	Magway	USDP	Male	Bamar	Buddhism	28-Sep-60	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-02-043	20-Oct-11	First Amyotha Hluttaw	Second Regular Session	Appointing Female staff in non-military department of army	လက်ရှိတပ်မတော်တွင် တိုက်ခိုက်ရေးတာဝန်မဟုတ်သော စစ်မှုရေးရာဌာနများ၌ အမျိုးသမီးစစ်မှုထမ်းများ ခန့်ထားရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်း အဆို		Scrutiny	Recorded	21-Oct-11	General Aung Thaw	Deputy Defence Minister
UPMP-01-0078	U Hla Swe	ဦးလှဆွေ	Magway Region, Constituency (12)	Magway	USDP	Male	Bamar	Buddhism	28-Sep-60	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-03-008	20-Feb-12	First Amyotha Hluttaw	Third Regular Session	Chosing and practicing new generation players for coming 27th Sea Game.	အိမ်ရှင်အဖြစ်လက်ခံကျင်းပမည့် ၂၀၁၃ Sea Game ပြိုင်ပွဲအတွက် ရည်ရွယ်၍ အခြေခံပညာ/အဆင့်မြင့်ပညာ ကျောင်းပေါင်းစုံအားကစားပြိုင်ပွဲများ၊ တိုင်းနှင့်ပြည်နယ် အားကစားပြိုင်ပွဲများ၊ ကာကွယ်ရေးဝန်ကြီးဌာနအပါအဝင် ဝန်ကြီးဌာနပေါင်းစုံ အားကစားပြိုင်ပွဲများအား နိုင်ငံတစ်ဝန်း ကျင်းပလျက် မျိုးဆက်သစ်ရွက်ပုန်းသီး အားကစားသမား များကို မွေးထုတ်ကာ ကြိုတင်ရွေးချယ် စခန်းသွင်းလေ့ကျင့်သွားရန်နှင့် စပ်လျဉ်းတဲ့ အဆို	Social Welfare	Scrutiny	Recorded	21-Feb-12	U Aye Myint Q	Deputy Sport Minister
UPMP-01-0078	U Hla Swe	ဦးလှဆွေ	Magway Region, Constituency (12)	Magway	USDP	Male	Bamar	Buddhism	28-Sep-60	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-04-009	12-Jul-12	First Amyotha Hluttaw	Fourth Regular Session	Term limits for ward/village-tract level civil servants	အုပ်ချုပ်ရေးပိုင်း၌ တာဝန်ယူ ရသော ရပ်ကွက်/ကျေးရွာအုပ်စု စာရေးဝန်ထမ်းများ တစ်နေရာတည်းတွင် (၃)နှစ်ထက် မပိုစေဘဲ ပြောင်းရွှေ့တာဝန်ချထားပေးပါရန် ပြည်ထောင်စု အစိုးရအား တိုက်တွန်းကြောင်း အဆို	Social Welfare	Scrutiny	Recorded	13-Aug-12	Kyaw Zan Myint	Deputy Home Miniter
UPMP-01-0078	U Hla Swe	ဦးလှဆွေ	Magway Region, Constituency (12)	Magway	USDP	Male	Bamar	Buddhism	28-Sep-60	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-04-018	14-Aug-12	First Amyotha Hluttaw	Fourth Regular Session	Anti-corruption measures in the civil service	Clean Government ဖြစ်စေရန် ဝန်ထမ်းများ၏ ရပိုင်ခွင့်၊ ခံစားပိုင်ခွင့်များ အဆင့်အလိုက် ခံစားခွင့်ရရှိရန် ပြည်ထောင်စု အစိုးရအား တိုက်တွန်းကြောင်း အဆို	Politics	Scrutiny	Recorded	21-Aug-12	U Soe Maung	President Office Minister
UPMP-01-0078	U Hla Swe	ဦးလှဆွေ	Magway Region, Constituency (12)	Magway	USDP	Male	Bamar	Buddhism	28-Sep-60	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-04-026	31-Aug-12	First Amyotha Hluttaw	Fourth Regular Session	Forming commision for the development of the mining sector	သတ္တုကဏ္ဍဖွံ့ဖြိုးတိုးတက်ရေး၊ လုပ်ငန်းလွယ်ကူ လျင်မြန်ရေးနှင့် သဘာဝပတ်ဝန်းကျင် ထိန်းသိမ်းရေးတို့ ပေါင်းစပ်လုပ်ကိုင်နိုင်ရန် သက်ဆိုင်သော ဝန်ကြီးဌာနပေါင်းစုံမှ တာဝန်ရှိသူများနှင့် သီးခြားပညာရှင်များ ပါဝင်သော ပြည်ထောင်စုအဆင့် ကော်မရှင်တစ်ရပ် ဖွဲ့စည်း၍ ဒေသခံပြည်သူများ အကျိုးရှိရေး၊ နိုင်ငံတော်ဝင်ငွေ တိုးတက်ရေးအတွက် ကြိုးပမ်းအကောင်အထည်ဖော်သွားရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်း အဆို	Mining	Scrutiny	Approved
UPMP-01-0078	U Hla Swe	ဦးလှဆွေ	Magway Region, Constituency (12)	Magway	USDP	Male	Bamar	Buddhism	28-Sep-60	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-06-001	9-Jan-13	First Amyotha Hluttaw	Sixth Regular Session	To request the Goverment of Amarican to reduce the sanction of jade	အမေရိကန်ပြည်ထောင်စုမှ စီးပွားရေးပိတ်ဆို့မှု (Sanction) များအား ဖြေလျော့ပေးခဲ့ရာတွင် ကျောက်စိမ်းနှင့် ကျောက်မျက်ရတနာ ထွက်ကုန်များ မပါရှိဘဲ ချန်လှပ်ခဲ့ခြင်းအပေါ် လုံးဝပြေလျော့ပေးရေး အမေရိကန်အစိုးရသို့ တောင်းဆိုပေးသွားပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်းအဆို 	Politics	Scrutiny	Approved	6-Mar-13	U Zin Yor	Deput Internation Relation Minister
UPMP-01-0078	U Hla Swe	ဦးလှဆွေ	Magway Region, Constituency (12)	Magway	USDP	Male	Bamar	Buddhism	28-Sep-60	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-07-012	4-Jul-13	First Amyotha Hluttaw	Seventh Regular Session	Recontrolling Land ares of public Companines	နိုင်ငံတစ်ဝန်းတွင် စီမံကိန်းလုပ်ငန်း အမျိုးမျိုးပြ၍ မြေနေရာရယူထားသော ပုဂ္ဂလိက ကုမ္ပဏီ ငယ်/လတ်/ကြီးတို့ဖြင့် အမည်ပေါက် ပိုင်ဆိုင်ထားမှုတွင် အမှန်တကယ် စီမံကိန်း လျာထားချက်အတိုင်း အကောင်အထည်မဖော် နိုင်ပါက ပြန်လည်သိမ်းယူပြီး အမှန်တကယ် လုပ်ကိုင်ဆောင်ရွက်မည့် ပြည်တွင်း/ပြည်ပ ရင်းနှီး မြှုပ်နှံလိုသူများအား ချထားပေးရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်းအဆို 	Land Grab	Scrutiny	Approved		U Ohn Than	Deputy Agriculture and Irrigation Minister
UPMP-01-0078	U Hla Swe	ဦးလှဆွေ	Magway Region, Constituency (12)	Magway	USDP	Male	Bamar	Buddhism	28-Sep-60	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-10-006	23-Jun-14	First Amyotha Hluttaw	Tenth Regular Session	Plans for Rakhine Ethnic Lively in Rakhine State	ရခိုင်လူမျိုးများ နေပျော်လာအောင် အမျိုးသားရေးတာဝန်တစ်ရပ်အနေဖြင့် အခြေအနေအရပ်ရပ်ကို ဖန်တီးဖော်ဆောင်ပေးရန် ပြည်ထောင်စု အစိုးရအား တိုက်တွန်းကြောင်းအဆို 	Ethnic Affairs	Scrutiny	Postpone	1-Jul-14
UPMP-01-0078	U Hla Swe	ဦးလှဆွေ	Magway Region, Constituency (12)	Magway	USDP	Male	Bamar	Buddhism	28-Sep-60	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-11-001	15-Sep-14	First Amyotha Hluttaw	Eleventh Regular Session	Plans for Rakhine Ethnic Lively in Rakhine State	N/A	Ethnic Affairs	Scrutiny	Approved	15-Sep-14	General Tin Aung Chit	Dupity Boder Affire Minister
LWMP-01-0085	U Hla Tun	ဦးလှထွန်း	Kham Tee Tsp	Sagaing	USDP	Male	Nar Ga	Buddhism	10-Feb-50	Civil Service	First Pyithu Hluttaw	2010	2015	LWM-01-02-043	29-Sep-11	First Pyithu Hluttaw	Second Regular Session	Opening ethnic university	“ပြည်ထောင်စုတိုင်းရင်းသားလူမျိုးများ ဖွံ့ဖြိုးရေးတက္ကသိုလ် ဆက်လက်ဖွင့်လှစ်ထားရှိရေး”အဆို	Education	Representation	Approved	30-Sep-11	U Kyaw Thu	Union Civil Service Board Chairman
UPMP-01-0099	U Hmat Kyee	ဦးမှတ်ကြီး	Mandalay Region, Constituency (9)	Mandalay	USDP	Male	Bamar	Buddhism	16-Nov-50	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-06-020	22-Feb-13	First Amyotha Hluttaw	Sixth Regular Session	Prescribing the law for the Kidney Donation	ကျန်းမာရေးဝန်ကြီးဌာနမှ ပြဋ္ဌာန်းထားသော ဥပဒေများတွင် သက်ရှိကျောက်ကပ်အစားထိုးခြင်းကို ညီအစ်ကို မောင်နှမ အချင်းချင်း ၊ သားသမီးအရင်းမှ မိဘအရင်း၊ မိဘအရင်းမှ သားသမီးအရင်းတို့သို့ ကျောက်ကပ်ကို အစားထိုးခွဲစိတ် ကုသခွင့်အပြင် တစ်ဝမ်းကွဲ ကျောက်ကပ်လှူခြင်းအား ခွင့်ပြုသည့်ဥပဒေ ပြဋ္ဌာန်းနိုင်ရေးကို စီမံဆောင်ရွက်ပေးပါရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်း အဆို 	Health	Scrutiny	Approved	13-Mar-13	Dr Pey Thet Khin	Health Minister
UPMP-01-0058	U Hsan Yei	ဦးဆန်းရယ်	Kayah State, Constituency (5)	Kayah	USDP	Male	Kayan	Christianity	13-Feb-77	Education	First Amyotha Hluttaw	2010	2015	UP-01-05-002	18-Oct-12	First Amyotha Hluttaw	Fifth Regular Session	Allowing to paid the earn for two month who far away depermemt	နိုင်ငံတော်အစိုးရမှ ဝေးလံခက်ခဲ၍ ဝန်ထမ်း လစာ(၂)ဆ ခံစားခွင့်ပြုသင့်သော ဒေသ၊ မြို့နယ်များ မကျန်ရှိအောင် ထပ်မံလေ့လာ စိစစ်၍ အမှန်တကယ်ပေးသင့်သည့် မြို့နယ်များကို ဆက်လက်ခွင့်ပြုသင့်ကြောင်း ပြည်ထောင်စု အစိုးရအား တိုက်တွန်းကြောင်း အဆို	Social Welfare	Scrutiny	Recorded	23-Oct-12	Director General of Police Kyaw Kyaw Tun	Deputy Home Minister
LWMP-01-0178	U Htann Lain	ဦးထန်လိန်း	Minn Dut Tsp	Chin	USDP	Male	Chin	Christianity	15-Mar-58	Civil Service	First Pyithu Hluttaw	2010	2015	LWM-01-02-037	22-Sep-11	First Pyithu Hluttaw	Second Regular Session	Adopting sports policy in schools	“အခြေခံပညာကျောင်းများတွင် အားကစား လုပ်ငန်းကိုထိထိရောက်ရောက်လက်တွေ့ဆောင်ရွက်ရေးမူတစ်ရပ်ချမှတ်ပေးရန်အဆို	Education	Scrutiny	Approved	23-Sep-11	U Aye Myint Kyu, Dr Mya Aye	Deputy Sports Minister, Education Minister
LWMP-01-0178	U Htann Lain	ဦးထန်လိန်း	Minn Dut Tsp	Chin	USDP	Male	Chin	Christianity	15-Mar-58	Civil Service	First Pyithu Hluttaw	2010	2015	LWM-01-07-001	23-Jul-13	First Pyithu Hluttaw	Seventh Regular Session	Holding the Workshops for Chin State Development		Development	Scrutiny	Approved		General Zaw Win	D M
LWMP-01-0280	U Htay Maung	ဦးဌေးမောင်	Saw Tsp	Magway	USDP	Male	Bamar	Buddhism	12-Feb-48	Education	First Amyotha Hluttaw	2010	2015	LWM-01-04-006	9-Jul-12	First Pyithu Hluttaw	Fourth Regular Session	Planning the project to give the electric power & replace the road around the country		Services	Scrutiny	Approved	11-Jul-12	U Khin Maung Soe	Electric Power Minister -2
