am_constituency,st_constituency_number,st_constituency,ward_village_number,ward_village,am_constituency_number,st_constituency_pcode
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,16,ထဖုံးကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,17,ဇံယော့ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,18,ဇနင်ထီကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,19,ညီဝမ်ထန်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,20,ရပ်မားကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,21,ရှီးလန်ဒမ်းကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,22,မရှော့ခူးကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,2,ခေါင်လန်ဖူး,1,ရမန်ချီကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,2,ခေါင်လန်ဖူး,2,ချီထုဖန်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,2,ခေါင်လန်ဖူး,3,ဒါလန်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,2,ခေါင်လန်ဖူး,4,လာတားကော်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,2,ခေါင်လန်ဖူး,5,နမ်ချိန်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,2,ခေါင်လန်ဖူး,6,ဇီးထန်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,1,မြို့မရပ်ကွက်(ဆွမ်ပရာဘွမ်မြို့),1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,2,ဝါစပ်ခူးရပ်ကွက်(ဆွမ်ပရာဘွမ်မြို့),1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,3,ကဘရန်ခူးရပ်ကွက်(ဆွမ်ပရာဘွမ်မြို့),1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,4,အင်ဂေါမကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,5,ခင်ဒူယန်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,6,ဖုန်အင်ယန်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,7,မလီယန်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,8,ဝါ့ဖောင်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,9,ရှကျွမ်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,10,လုံဝမ်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,11,လထွန်ကထောင်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,12,အင်ဒိန်ဒိန်ဆာကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,13,ဘွမ်ဝမ်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,14,ခင်ဒေါင်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,15,ဂျာထုံအူမားကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,16,ကွမ်ရှင်မာကျယ်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,17,ပုံအင်ခူးကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,18,အင်ယမ်ဂါးကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,19,ရှကရင်တူကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,20,ရှကရမ်ဂါးကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,21,ဂမ္မဂျောင်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆွမ်ပရာဘွမ်,22,အင်ရှီခူးကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,1,ဇနန်ခကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,2,အင်တားဂလူကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,3,မိုင်ထောင်းကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,4,ခကရန်းယန်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,5,ဘွပ်ခါးကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,6,ကဝါးပန်းကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,7,ထွမ်ရှင်ကော့နန်းကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,8,အင်ဒိန်ကော့နန်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,9,နိမ္မာကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,10,လုံကန်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,11,ထိန်နန်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,12,ဆန်ထူကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,13,အင်ခိုင်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,14,အင်ဂန်အူမားကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,15,ဖုန်ဝဲယန်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,16,ဆိုင်ရန်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,17,ပင်လွမ်းဘွမ်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,18,အွမ်လထွမ်းကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,19,ဒူရစ်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,20,မဂေါ်ဂါးကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,2,ဆွမ်ပရာဘွမ်,21,တုန်ယန်ကျေးရွာအုပ်စု,1,MMR001015
ကချင်ပြည်နယ်,1,ဆော့လော်,1,ဆော့လော်ရပ်ကွက်(ဆော့လော်မြို့),5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,2,မန်ကျီကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,3,ဝဟောင်ကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,4,ယော်ဂျောကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,5,ဂျစ်လွယ်ကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,6,လောင်ဒင်ကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,7,မျောဂျောင်းကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,8,မန်ဗျော့ကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,9,ကျီးရှင်ကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,10,လခမ်ကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,11,ယင်းကျင်းကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,12,ရှင်ဆွယ်ကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,13,ဂေါ့မောကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,14,လောင်လန်ကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,15,ဇန်ယူကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,16,ဝမြစ်ကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,17,နန်ဘုတ်ကျေးရွာအုပ်စု,5,MMR001006
ကချင်ပြည်နယ်,1,ဆော့လော်,18,ဘုတ်ရန်ကျေးရွာအုပ်စု,5,MMR001006
