Pyithy Hluttaw (Lower House)					
					
No	State/Region Name	Constituency Name	Winning Candidate Name	Party/Independence	Total Vote Counts
51	ဧရာဝတီတိုင်းဒေသကြီး	ဟင်္သာတ	ဦးခင်မောင်ရီ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၁၄၁၆၃
52	ဧရာဝတီတိုင်းဒေသကြီး	အိမ်မဲ	ဒေါ်သန္တာ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၉၄၂၈
53	ဧရာဝတီတိုင်းဒေသကြီး	ပန်းတနော်	ဦးမန်းညွန့်သိန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၂၇၈၀
54	ဧရာဝတီတိုင်းဒေသကြီး	ဓနုဖြူ	ဦးတင်လှ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၂၈၅၀
55	ဧရာဝတီတိုင်းဒေသကြီး	ဖျာပုံ	ဦးဝင်းထွဋ်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၇၂၃၆၉
56	ဧရာဝတီတိုင်းဒေသကြီး	ဘိုကလေး	ဦးမင်းသိုင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၁၇၆၃
Magwe Region					
57	မကွေးတိုင်းဒေသကြီး	ငဖဲ	ဦးစိုးမြင့်(ခ)ဦးစိုးလွင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၁၈၄၂
58	မကွေးတိုင်းဒေသကြီး	စေတုတ္တရာ	ဦးကျော်အောင်လွင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၆၉၉၉
59	မကွေးတိုင်းဒေသကြီး	မင်းလှ	ဦးကျော်ကြီး (ခ) ဦးအုန်းခင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၁၈၃၈
60	မကွေးတိုင်းဒေသကြီး	ရေစကြို	ဦးတိုးရွှေ(ခ)ဒေါက်တာတင်ဌေးအောင	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၇၈၄၃၉
