State and Region Parliaments					
					
No.	State/Region Name	Constituency Name and Number	Winning Candidate Name	Party/Independence	Total Vote Counts
64	ရှမ်းပြည်နယ်	မဘိမ်း (၂)	ဦးမင်းမင်းသိန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၉၄၂
65	ရှမ်းပြည်နယ်	မိုင်းဆတ် (၁)	ဦးသန်းဝင်း	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၅၆၉၂
66	ရှမ်းပြည်နယ်	မိုင်းဆတ် (၂)	ဦးဒါဝိဒ်	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၂၉၆၇
67	ရှမ်းပြည်နယ်	မိုင်းတုံ (၁)	ဦးစောမူးလာ	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၄၁၆၂
68	ရှမ်းပြည်နယ်	မိုင်းတုံ (၂)	ဦးဆန်းဝင်းအောင်(ခ) ဦးအောင်အောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၁၈၆
69	ရှမ်းပြည်နယ်	မိုင်းယောင်း (၁)	ဦးအိုက်ခမ်းလှိုင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၉၂၈
70	ရှမ်းပြည်နယ်	မိုင်းယောင်း (၂)	ဦးစိုင်းရှဲန်တစ်လုံ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၀၃၄
71	ရှမ်းပြည်နယ်	ကျောက်မဲ (၁)	ဦးစိုင်းထွန်းဝင်း (ခ)ဦးစိုင်းနော်ခမ်း	ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ	၂၁၁၃၆
72	ရှမ်းပြည်နယ်	ကျောက်မဲ (၂)	ဦးစိုင်းထွန်းဉာဏ်	ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ	၁၉၃၈၆
73	ရှမ်းပြည်နယ်	မူဆယ် (၁)	ဦးစိုင်းကျော်သိန်း	ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ	၁၅၅၂၂
74	ရှမ်းပြည်နယ်	မူဆယ် (၂)	ဦးကိန်မိုင်	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၇၂၈၈
Magwe Region Hluttaw					
75	မကွေးတိုင်းဒေသကြီး	မကွေး (၁)	ဦးကျော်ဌေး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၅၅၇၀၉
76	မကွေးတိုင်းဒေသကြီး	မကွေး (၂)	ဒေါ်ခင်ချိုလတ်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၅၅၅၇၇
77	မကွေးတိုင်းဒေသကြီး	တောင်တွင်းကြီး (၁)	ဦးဇော်မင်းထွန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၅၀၆၃
78	မကွေးတိုင်းဒေသကြီး	ောင်တွင်းကြီး (၂)	ဦးဝင်းမြင့်လှိုင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၂၂၉၃
79	မကွေးတိုင်းဒေသကြီး	မြို့သစ် (၁)	ဦးသန်းဆွေ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၈၁၃၁
80	မကွေးတိုင်းဒေသကြီး	မြို့သစ် (၂)	ဦးဇော်မျိုးဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၉၀၂၀
81	မကွေးတိုင်းဒေသကြီး	နတ်မောက် (၁)	ဦးသောင်းရွှေ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၂၇၆၀
82	မကွေးတိုင်းဒေသကြီး	နတ်မောက် (၂)	ဒေါက်တာခင်မောင်အေး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၁၉၃၄
83	မကွေးတိုင်းဒေသကြီး	မင်းဘူး (၁)	ဦးကျော်စွမ်းရည်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၆၅၆၈
84	မကွေးတိုင်းဒေသကြီး	မင်းဘူး (၂)	ဦးနေမျိုးကျော်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၈၂၂၉
85	မကွေးတိုင်းဒေသကြီး	ကံမ (၁)	ဦးဇော်ဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၄၁၀၄
86	မကွေးတိုင်းဒေသကြီး	ကံမ (၂)	ဦးမြင့်အောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၃၂၀၁
87	မကွေးတိုင်းဒေသကြီး	ဆင်ပေါင်ဝဲ (၁)	ဦးတင်မောင်ဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၉၉၆၆
88	မကွေးတိုင်းဒေသကြီး	ဆင်ပေါင်ဝဲ (၂)	ဦးကျော်လွင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၁၇၈၁
89	မကွေးတိုင်းဒေသကြီး	အောင်လံ (၁)	ဦးဇော်မင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၄၀၈၂
90	မကွေးတိုင်းဒေသကြီး	အောင်လံ (၂)	ဦးအေးကျော်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၅၅၄၉
91	မကွေးတိုင်းဒေသကြီး	ဆိပ်ဖြူ (၁)	ဒေါ်သက်မွန်အေး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၆၇၅၅
92	မကွေးတိုင်းဒေသကြီး	ဆိပ်ဖြူ(၂)	ဦးကျော်ဆန်းအောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၅၅၃၁
93	မကွေးတိုင်းဒေသကြီး	ဆော (၁)	ဦးထင်လင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၃၇၁၈
94	မကွေးတိုင်းဒေသကြီး	ဆော (၂)	ဦးကျော်မြင့်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၆၂၅၀
95	မကွေးတိုင်းဒေသကြီး	ငဖဲ (၁)	ဦးစန်းကြူ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၁၂၁၇
96	မကွေးတိုင်းဒေသကြီး	ငဖဲ (၂)	ဦးခင်မောင်လွင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၀၄၃၅
97	မကွေးတိုင်းဒေသကြီး	မင်းလှ (၁)	ဦးလှိုင်မြင့်သန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၉၈၄၇
98	မကွေးတိုင်းဒေသကြီး	မင်းလှ (၂)	ဦးမောင်ကို	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၁၈၉၁
99	မကွေးတိုင်းဒေသကြီး	ပွင့်ဖြူ (၁)	ဒေါက်တာအောင်မိုးညို	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၄၀၆၉
100	မကွေးတိုင်းဒေသကြီး	ပွင့်ဖြူ (၂)	ဦးတင့်ဆန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၇၄၁၃
101	မကွေးတိုင်းဒေသကြီး	စေတုတ္တရာ (၁)	ဒေါ်ညိုညိုဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၈၂၉၉
102	မကွေးတိုင်းဒေသကြီး	စေတုတ္တရာ (၂)	ဦးထွန်းထွန်းဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၈၅၁၃
103	မကွေးတိုင်းဒေသကြီး	ရေစကြို (၁)	ဦးတင်သောင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၂၄၆၈
104	မကွေးတိုင်းဒေသကြီး	ရေစကြို (၂)	ဦးမင်းဟန်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၈၅၉၀
105	မကွေးတိုင်းဒေသကြီး	မြိုင် (၁)	"ဦးသက်နိုင်
"	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၇၄၅၆
106	မကွေးတိုင်းဒေသကြီး	မြိုင် (၂)	ဦးဝင်းဌေး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၇၃၆၅
Sagaing Region Hluttaw					
107	စစ်ကိုင်းတိုင်းဒေသကြီး	မြင်းမူ (၁)	ဦးသောင်းမြင့်	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၆၇၇၉
108	စစ်ကိုင်းတိုင်းဒေသကြီး	မြင်းမူ (၂)	ဒေါ်နီလာလွင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၁၀၉၃
109	စစ်ကိုင်းတိုင်းဒေသကြီး	ဘုတလင် (၁)	ဦးအောင်ကျော်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၅၂၁၅
110	စစ်ကိုင်းတိုင်းဒေသကြီး	ဘုတလင် (၂)	ဒေါက်တာကျော်ဇေလင်း  (ခ) ဇေလင်းမောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၄၉၅၆
111	စစ်ကိုင်းတိုင်းဒေသကြီး	မြောင် (၁)	ဒေါ်အေးမြတ်မွန်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၂၉၅၃
112	စစ်ကိုင်းတိုင်းဒေသကြီး	မြောင် (၂)	ဒေါက်တာကျော်နိုင်ထွန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၆၀၂၃
113	စစ်ကိုင်းတိုင်းဒေသကြီး	ဝက်လက် (၁)	ဦးမောင်မောင်ဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၀၀၅၈
114	စစ်ကိုင်းတိုင်းဒေသကြီး	ဝက်လက် (၂)	ဦးစိုးဝင်းထွန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၆၃၉၉
115	စစ်ကိုင်းတိုင်းဒေသကြီး	မုံရွာ (၁)	ဒေါ်အမာကြည်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၈၁၃၅၉
116	စစ်ကိုင်းတိုင်းဒေသကြီး	မုံရွာ (၂)	ဒေါ်အောင်ကြည်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၈၆၁၄၆
117	စစ်ကိုင်းတိုင်းဒေသကြီး	ချောင်းဦး (၁)	ဦးဝင်းမြင့် (ခ) ဦးဝင်းမြင့်ခင	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၂၉၀၇
118	စစ်ကိုင်းတိုင်းဒေသကြီး	ချောင်းဦး (၂)	ဦးကျော်ဆန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၁၃၅၈
119	စစ်ကိုင်းတိုင်းဒေသကြီး	ကနီ (၁)	ဦးရွှေဌေး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၇၇၄၅
120	စစ်ကိုင်းတိုင်းဒေသကြီး	ကနီ (၂)	ဦးထွန်းထွန်းဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၀၄၅၉
Bago Region Hluttaw					
121	ပဲခူးတိုင်းဒေသကြီး	သနပ်ပင် (၁)	ဒေါက်တာစောညိုဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၈၆၂၈
122	ပဲခူးတိုင်းဒေသကြီး	သနပ်ပင် (၂)	ဦးမျိုးမြင့်အောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၀၀၉၃
123	ပဲခူးတိုင်းဒေသကြီး	ညောင်လေးပင်(၁)	ဦးအောင်နိုင်ဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၈၆၂၂
124	ပဲခူးတိုင်းဒေသကြီး	ညောင်လေးပင် (၂)	ဦးညီညီထွေး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၆၉၆၀
125	ပဲခူးတိုင်းဒေသကြီး	ကျောက်တံခါး (၁)	ဦးလင်းလင်းကျော်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၄၈၀၇
126	ပဲခူးတိုင်းဒေသကြီး	ကျောက်တံခါး (၂)	ဦးကြည်ဇင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၂၃၆၇
127	ပဲခူးတိုင်းဒေသကြီး	တောင်ငူ (၁)	ဦးအေးမင်းဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၉၂၆၉
128	ပဲခူးတိုင်းဒေသကြီး	တောင်ငူ (၂)	ဦးမိုးမခ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၆၈၀၁
129	ပဲခူးတိုင်းဒေသကြီး	ပေါင်းတည် (၁)	ဦးရဲလင်းနိုင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၆၁၀၉
130	ပဲခူးတိုင်းဒေသကြီး	ပေါင်းတည် (၂)	ဦးထွန်းထွန်းဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၈၂၁၉
131	ပဲခူးတိုင်းဒေသကြီး	လက်ပံတန်း (၁)	ဦးခင်မောင်ရင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၉၇၅၃
132	ပဲခူးတိုင်းဒေသကြီး	လက်ပံတန်း (၂)	ဦးမျိုးအောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၃၄၅၉
Mandalay Region Hluttaw					
133	မန္တလေးတိုင်းဒေသကြီး	ပုသိမ်ကြီး (၁)	ဦးအောင်ကျော်ဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၇၈၀၀
134	မန္တလေးတိုင်းဒေသကြီး	ပုသိမ်ကြီး (၂)	ဦးရဲမင်းဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၅၆၀၄
