Pyithy Hluttaw (Lower House)					
					
No	State/Region Name	Constituency Name	Winning Candidate Name	Party/Independence	Total Vote Counts
54	ရှမ်းပြည်နယ်	ရွာငံ	ဦးအောင်စိုးမင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၇၁၈၃
55	ရှမ်းပြည်နယ်	လဲချား	ဦးစိုင်းမွန်း	ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ	၁၃၀၅၁
56	ရှမ်းပြည်နယ်	လင်းခေး	ဦးစိုင်းဘသိန်း	ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ	၉၀၁၀
57	ရှမ်းပြည်နယ်	နောင်ချို	ဦးထွန်းအောင်(ခ)ဦးထွန်းထွန်းဟိန်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၁၂၀၀
58	ရှမ်းပြည်နယ်	လောက်ကိုင်	ဦးလူတယ်ဟုန်(ခ)အောင်ရွှေ	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့် ဖွံ့ဖြိုးရေးပါတီ	၇၁၉၄
Thanintharyi Region					
59	တနင်္သာရီတိုင်းဒေသကြီး	လောင်းလုံး	ဒေါ်ခင်စန္ဒီ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၄၇၇၃
60	တနင်္သာရီတိုင်းဒေသကြီး	သရက်ချောင်း	ဦးအောင်စိုး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၄၅၅၁
Irrawaddy Region					
61	ဧရာဝတီတိုင်းဒေသကြီး	ညောင်တုန်း	ဦးအုန်းလွင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၇၃၇၇၇
62	ဧရာဝတီတိုင်းဒေသကြီး	ဇလွန်	ဦးအောင်မင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၅၂၉၅၆
63	ဧရာဝတီတိုင်းဒေသကြီး	လေးမျက်နှာ	ဦးဇော်မင်းသိန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၄၃၁၂
64	ဧရာဝတီတိုင်းဒေသကြီး	ကြံခင်း	ဦးထွန်းလင်းမော်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၉၀၉၆
65	ဧရာဝတီတိုင်းဒေသကြီး	အင်္ဂပူ	ဦးအေးဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၂၈၁၉
66	ဧရာဝတီတိုင်းဒေသကြီး	ကန်ကြီးထောင့်	ဦးရွှေလှကြိုင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၆၉၀၉
67	ဧရာဝတီတိုင်းဒေသကြီး	သာပေါင်း	ဦးသိန်းထွန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၁၂၉၁
68	ဧရာဝတီတိုင်းဒေသကြီး	ကျုံပျော်	ဦးစိုးအောင်နိုင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၇၈၅၉၃
69	ဧရာဝတီတိုင်းဒေသကြီး	ရေကြည်	ဒေါက်တာစံရွှေဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၅၃၁၅
70	ဧရာဝတီတိုင်းဒေသကြီး	မြန်အောင်	ဦးခင်မောင်လတ်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၇၅၅၈၈
71	ဧရာဝတီတိုင်းဒေသကြီး	မအူပင်	ဦးစိန်ဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၈၂၁၁၈
72	ဧရာဝတီတိုင်းဒေသကြီး	ကျိုက်လတ်	ဦးရန်လင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၈၉၈၄
73	ဧရာဝတီတိုင်းဒေသကြီး	ဒေးဒရဲ	ဒေါက်တာဒေါ်ခင်ညို	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၁၂၃၁
Magwe Region					
74	မကွေးတိုင်းဒေသကြီး	ရေနံချောင်း	ဦးသာချို(ခ)ဦးတင်ကြိုင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၅၂၀၆၁
75	မကွေးတိုင်းဒေသကြီး	စလင်း	ဦးကံဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၈၈၂၇၆
76	မကွေးတိုင်းဒေသကြီး	သရက်	ဦးကံမြင့်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၈၄၉၁
77	မကွေးတိုင်းဒေသကြီး	မင်းတုန်း	ဒေါ်ခင်သန်းနု	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၂၄၃၄
78	မကွေးတိုင်းဒေသကြီး	မကွေး	ဦးမြင့်ဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၀၇၅၈၀
79	မကွေးတိုင်းဒေသကြီး	တောင်တွင်းကြီး	ဦးမင်းသိန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၈၆၁၁၆
80	မကွေးတိုင်းဒေသကြီး	မြို့သစ်	ဦးသာအောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၅၆၇၁၈
81	မကွေးတိုင်းဒေသကြီး	နတ်မောက်	ဦးအောင်တင်လင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၈၃၀၈၁
82	မကွေးတိုင်းဒေသကြီး	မင်းဘူး	ဦးဝင်းဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၇၂၀၉၃
83	မကွေးတိုင်းဒေသကြီး	ပွင့်ဖြူ	ဦးထွန်းထွန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၀၉၇၅
84	မကွေးတိုင်းဒေသကြီး	ကံမ	ဦးစိန်ဟန်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၇၅၉၃
85	မကွေးတိုင်းဒေသကြီး	ဆင်ပေါင်ဝဲ	ဦးနေထက်ဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၉၉၀၅
86	မကွေးတိုင်းဒေသကြီး	အောင်လံ	ဦးအောင်ထူးမြင့်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၈၆၀၈၅
87	မကွေးတိုင်းဒေသကြီး	ဆိပ်ဖြူ	ဦးအောင်သိုက်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၁၈၀၆
88	မကွေးတိုင်းဒေသကြီး	ဆော	ဦးကျော်တင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၀၉၆၆
