State and Region Parliaments					
					
No.	State/Region Name	Constituency Name and Number	Winning Candidate Name	Party/Independence	Total Vote Counts
44	မွန်ပြည်နယ်	သံဖြူဇရပ် (၂)	ဦးထွန်းဌေး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၉၅၃၄
45	မွန်ပြည်နယ်	မုဒုံ (၁)	ဒေါ်မြသိင်္ဂီမော်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၇၇၆၃
46	မွန်ပြည်နယ်	မုဒုံ (၂)	ဦးနိုင်ကြည်ဝင်း (ခ) ဒေါက်တာမင်းကြည်ဝင်း	မွန်အမျိုးသားပါတီ	၁၂၃၇၇
Magwe Region Hluttaw					
47	မကွေးတိုင်းဒေသကြီး	ရေနံချောင်း (၁)	ဦးတင့်လွင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၅၄၄၈
48	မကွေးတိုင်းဒေသကြီး	ရေနံချောင်း (၂)	ဦးသိန်းလှ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၆၈၅၇
49	မကွေးတိုင်းဒေသကြီး	စလင်း (၁)	ဦးတာ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၆၈၉၁
50	မကွေးတိုင်းဒေသကြီး	စလင်း (၂)	ဦးသက်ခိုင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၃၂၉၆
51	မကွေးတိုင်းဒေသကြီး	သရက် (၁)	ဒေါ်အေးယုမော်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၀၅၂၂
52	မကွေးတိုင်းဒေသကြီး	သရက်(၂)	ဦးဇော်မိုးအောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၈၁၂၄
53	မကွေးတိုင်းဒေသကြီး	မင်းတုန်း(၁)	ဦးတင်ဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၁၅၆၄
54	မကွေးတိုင်းဒေသကြီး	မင်းတုန်း (၂)	ဦးအေးလှိုင်ဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၁၀၉၉
Thaninthayi Region Hluttaw					
55	တနင်္သာရီတိုင်းဒေသကြီး	လောင်းလုံး (၁)	ဦးဗိုလ်ထွေး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၅၆၆၀
56	တနင်္သာရီတိုင်းဒေသကြီး	လောင်းလုံး (၂)	ဦးမြင့်စန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၉၃၉၁
