state_or_region,constituency_number,constituency_name,ward_village_number,ward_village
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,32,ဝဲကြီးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,33,ဝတ်ကြီးကျေးရွာ အုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,34,ကော့ရင်း(အထက်)ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,35,ဘင်ဂျီကျေးရွာ အုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,36,လှာကာကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,37,လှာကမြင်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,38,တကောင်ဘိုး ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,39,တံတားဦးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,40,ကျုံမသွယ် ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,41,မီးဇိုင်းကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,42,အီဟယ်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,43,နောင်ကမြိုင်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,44,ပေါ့ထော်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,45,ပျဉ်းမပင်ဆိပ်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,46,ဟတ္တလိုက်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,47,ကျုံထော်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,48,မဲသန ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,49,တဂေးလောင်းကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,50,ကော်ဟဲ ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,1,(က)ရပ်ကွက်(လှိုင်းဘွဲ့မြို့)
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,2,(ခ)ရပ်ကွက်(လှိုင်းဘွဲ့မြို့)
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,3,(ဂ)ရပ်ကွက်(လှိုင်းဘွဲ့မြို့)
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,4,(ဃ)ရပ်ကွက်(လှိုင်းဘွဲ့မြို့)
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,5,ကမော့ ကချူးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,6,ကော့လှိုင်းကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,7,ကွမ်ဘီ ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,8,ပိန္နဲတောကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,9,ကွမ်တာကျေးရွာ အုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,10,ဒိုင်းပြကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,11,ဆင်ကူးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,12,အထက်ရေပူကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,13,အောက်ရေပူကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,14,သမ္ဘာန်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,15,နောင်သငဲ့ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,16,သပုထို ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,လှိုင်းဘွဲ့မြို့နယ်,17,ကြာအင်းကျေးရွာအုပ်စု
